edge_id,source_strut_id,defect_class,k,neighbor_edge_ids,neighbor_defect_classes,neighbor_distances_mm,missing_neighbor_count,broken_neighbor_count,thin_neighbor_count
E_N001010_N001035,1801,missing,3,"[""E_N001010_N001021"",""E_N001015_N001035"",""E_N001024_N001035""]","[""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.2800000000000002]",3,0,0
E_N001010_N001035,1801,missing,5,"[""E_N001010_N001021"",""E_N001015_N001035"",""E_N001024_N001035"",""E_N001015_N001021"",""E_N001029_N001035""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106564,3.2244069222106573]",5,0,0
E_N001010_N001035,1801,missing,10,"[""E_N001010_N001021"",""E_N001015_N001035"",""E_N001024_N001035"",""E_N001015_N001021"",""E_N001029_N001035"",""E_N001024_N001049"",""E_N001011_N001021"",""E_N001015_N002169"",""E_N001029_N001049"",""E_N001012_N001021""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106564,3.2244069222106573,4.559999999999999,4.56,4.56,5.098234988699519,5.09823498869952]",10,0,0
E_N001011_N001021,1773,missing,1,"[""E_N001010_N001021""]","[""missing""]",[2.2800000000000002],1,0,0
E_N001011_N001021,1773,missing,3,"[""E_N001010_N001021"",""E_N001012_N001021"",""E_N001015_N001021""]","[""missing"",""missing"",""missing""]","[2.2800000000000002,2.2800000000000002,3.2244069222106573]",3,0,0
E_N001011_N001021,1773,missing,5,"[""E_N001010_N001021"",""E_N001012_N001021"",""E_N001015_N001021"",""E_N001012_N001016"",""E_N001010_N001035""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2800000000000002,2.2800000000000002,3.2244069222106573,3.6049965325919526,4.56]",5,0,0
E_N001011_N001021,1773,missing,10,"[""E_N001010_N001021"",""E_N001012_N001021"",""E_N001015_N001021"",""E_N001012_N001016"",""E_N001010_N001035"",""E_N001012_N002155"",""E_N001012_N002152"",""E_N001015_N001035"",""E_N001015_N002155"",""E_N001015_N002169""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2800000000000002,2.2800000000000002,3.2244069222106573,3.6049965325919526,4.56,4.56,4.836610383315985,5.09823498869952,5.09823498869952,6.448813844421313]",10,0,0
E_N001012_N001016,3779,missing,1,"[""E_N001012_N002152""]","[""missing""]",[1.612203461105328],1,0,0
E_N001012_N001016,3779,missing,3,"[""E_N001012_N002152"",""E_N001012_N001021"",""E_N001012_N002155""]","[""missing"",""missing"",""missing""]","[1.612203461105328,1.6122034611053286,1.6122034611053286]",3,0,0
E_N001012_N001016,3779,missing,5,"[""E_N001012_N002152"",""E_N001012_N001021"",""E_N001012_N002155"",""E_N001015_N001021"",""E_N001015_N002155""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[1.612203461105328,1.6122034611053286,1.6122034611053286,2.792418306772823,2.792418306772823]",5,0,0
E_N001012_N001016,3779,missing,10,"[""E_N001012_N002152"",""E_N001012_N001021"",""E_N001012_N002155"",""E_N001015_N001021"",""E_N001015_N002155"",""E_N001011_N001021"",""E_N002146_N002155"",""E_N001010_N001021"",""E_N002149_N002155"",""E_N001015_N001035""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[1.612203461105328,1.6122034611053286,1.6122034611053286,2.792418306772823,2.792418306772823,3.6049965325919526,3.6049965325919526,4.265489420922293,4.265489420922293,4.836610383315985]",10,0,0
E_N001012_N001021,1774,missing,1,"[""E_N001012_N001016""]","[""missing""]",[1.6122034611053286],1,0,0
E_N001012_N001021,1774,missing,3,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001011_N001021""]","[""missing"",""missing"",""missing""]","[1.6122034611053286,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001012_N001021,1774,missing,5,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001011_N001021"",""E_N001015_N001021"",""E_N001012_N002152""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[1.6122034611053286,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.7924183067728228]",5,0,0
E_N001012_N001021,1774,missing,10,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001011_N001021"",""E_N001015_N001021"",""E_N001012_N002152"",""E_N001015_N002155"",""E_N001010_N001021"",""E_N001015_N001035"",""E_N002146_N002155"",""E_N001010_N001035""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[1.6122034611053286,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.7924183067728228,3.2244069222106564,3.2244069222106573,4.56,4.56,5.09823498869952]",10,0,0
E_N001012_N002152,3781,missing,1,"[""E_N001012_N001016""]","[""missing""]",[1.612203461105328],1,0,0
E_N001012_N002152,3781,missing,3,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001012_N001021""]","[""missing"",""missing"",""missing""]","[1.612203461105328,1.6122034611053286,2.7924183067728228]",3,0,0
E_N001012_N002152,3781,missing,5,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001012_N001021"",""E_N002146_N002155"",""E_N001015_N002155""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[1.612203461105328,1.6122034611053286,2.7924183067728228,2.7924183067728237,3.6049965325919526]",5,0,0
E_N001012_N002152,3781,missing,10,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001012_N001021"",""E_N002146_N002155"",""E_N001015_N002155"",""E_N001015_N001021"",""E_N002149_N002155"",""E_N002146_N003289"",""E_N001011_N001021"",""E_N002149_N003289""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[1.612203461105328,1.6122034611053286,2.7924183067728228,2.7924183067728237,3.6049965325919526,4.265489420922293,4.265489420922293,4.836610383315984,4.836610383315985,5.812882245495773]",10,0,0
E_N001012_N002155,3789,missing,1,"[""E_N001012_N001016""]","[""missing""]",[1.6122034611053286],1,0,0
E_N001012_N002155,3789,missing,3,"[""E_N001012_N001016"",""E_N001012_N002152"",""E_N001012_N001021""]","[""missing"",""missing"",""missing""]","[1.6122034611053286,1.6122034611053286,2.2799999999999994]",3,0,0
E_N001012_N002155,3789,missing,5,"[""E_N001012_N001016"",""E_N001012_N002152"",""E_N001012_N001021"",""E_N001015_N002155"",""E_N002146_N002155""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[1.6122034611053286,1.6122034611053286,2.2799999999999994,2.2800000000000002,2.2800000000000002]",5,0,0
E_N001012_N002155,3789,missing,10,"[""E_N001012_N001016"",""E_N001012_N002152"",""E_N001012_N001021"",""E_N001015_N002155"",""E_N002146_N002155"",""E_N001015_N001021"",""E_N002149_N002155"",""E_N002146_N003289"",""E_N001011_N001021"",""E_N001015_N002169""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[1.6122034611053286,1.6122034611053286,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106564,3.2244069222106573,4.559999999999999,4.56,4.56]",10,0,0
E_N001015_N001021,1775,missing,1,"[""E_N001015_N001035""]","[""missing""]",[2.2799999999999994],1,0,0
E_N001015_N001021,1775,missing,3,"[""E_N001015_N001035"",""E_N001015_N002155"",""E_N001010_N001021""]","[""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001015_N001021,1775,missing,5,"[""E_N001015_N001035"",""E_N001015_N002155"",""E_N001010_N001021"",""E_N001012_N001021"",""E_N001012_N001016""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.792418306772823]",5,0,0
E_N001015_N001021,1775,missing,10,"[""E_N001015_N001035"",""E_N001015_N002155"",""E_N001010_N001021"",""E_N001012_N001021"",""E_N001012_N001016"",""E_N001015_N002169"",""E_N001010_N001035"",""E_N001012_N002155"",""E_N001011_N001021"",""E_N001012_N002152""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.792418306772823,3.2244069222106555,3.2244069222106564,3.2244069222106564,3.2244069222106573,4.265489420922293]",10,0,0
E_N001015_N001035,1802,missing,1,"[""E_N001015_N001021""]","[""missing""]",[2.2799999999999994],1,0,0
E_N001015_N001035,1802,missing,3,"[""E_N001015_N001021"",""E_N001015_N002169"",""E_N001010_N001035""]","[""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001015_N001035,1802,missing,5,"[""E_N001015_N001021"",""E_N001015_N002169"",""E_N001010_N001035"",""E_N001029_N001035"",""E_N001015_N002155""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106555]",5,0,0
E_N001015_N001035,1802,missing,10,"[""E_N001015_N001021"",""E_N001015_N002169"",""E_N001010_N001035"",""E_N001029_N001035"",""E_N001015_N002155"",""E_N001010_N001021"",""E_N001029_N002169"",""E_N001024_N001035"",""E_N001029_N001049"",""E_N001012_N001021""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106555,3.2244069222106564,3.2244069222106564,3.2244069222106573,4.559999999999999,4.56]",10,0,0
E_N001015_N002155,3788,missing,1,"[""E_N001015_N001021""]","[""missing""]",[2.2799999999999994],1,0,0
E_N001015_N002155,3788,missing,3,"[""E_N001015_N001021"",""E_N001015_N002169"",""E_N001012_N002155""]","[""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001015_N002155,3788,missing,5,"[""E_N001015_N001021"",""E_N001015_N002169"",""E_N001012_N002155"",""E_N002149_N002155"",""E_N001012_N001016""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.792418306772823]",5,0,0
E_N001015_N002155,3788,missing,10,"[""E_N001015_N001021"",""E_N001015_N002169"",""E_N001012_N002155"",""E_N002149_N002155"",""E_N001012_N001016"",""E_N001015_N001035"",""E_N001012_N001021"",""E_N002149_N002169"",""E_N002146_N002155"",""E_N001012_N002152""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.792418306772823,3.2244069222106555,3.2244069222106564,3.2244069222106564,3.2244069222106573,3.6049965325919526]",10,0,0
E_N001015_N002169,3817,missing,1,"[""E_N001015_N001035""]","[""missing""]",[2.2799999999999994],1,0,0
E_N001015_N002169,3817,missing,3,"[""E_N001015_N001035"",""E_N001015_N002155"",""E_N001029_N002169""]","[""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001015_N002169,3817,missing,5,"[""E_N001015_N001035"",""E_N001015_N002155"",""E_N001029_N002169"",""E_N002149_N002169"",""E_N001015_N001021""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106555]",5,0,0
E_N001015_N002169,3817,missing,10,"[""E_N001015_N001035"",""E_N001015_N002155"",""E_N001029_N002169"",""E_N002149_N002169"",""E_N001015_N001021"",""E_N001029_N001035"",""E_N002149_N002155"",""E_N002163_N002169"",""E_N001029_N002183"",""E_N002149_N003303""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.2244069222106555,3.2244069222106564,3.2244069222106564,3.2244069222106573,4.559999999999999,4.559999999999999]",10,0,0
E_N001024_N001035,1800,missing,1,"[""E_N001024_N001049""]","[""missing""]",[2.2799999999999985],1,0,0
E_N001024_N001035,1800,missing,3,"[""E_N001024_N001049"",""E_N001010_N001035"",""E_N001029_N001035""]","[""missing"",""missing"",""missing""]","[2.2799999999999985,2.2800000000000002,2.2800000000000002]",3,0,0
E_N001024_N001035,1800,missing,5,"[""E_N001024_N001049"",""E_N001010_N001035"",""E_N001029_N001035"",""E_N001029_N001049"",""E_N001015_N001035""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2800000000000002,2.2800000000000002,3.224406922210656,3.2244069222106573]",5,0,0
E_N001024_N001035,1800,missing,10,"[""E_N001024_N001049"",""E_N001010_N001035"",""E_N001029_N001035"",""E_N001029_N001049"",""E_N001015_N001035"",""E_N001010_N001021"",""E_N001029_N002169"",""E_N001038_N001049"",""E_N001029_N002183"",""E_N001015_N001021""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2800000000000002,2.2800000000000002,3.224406922210656,3.2244069222106573,4.56,4.56,4.56,5.098234988699519,5.09823498869952]",10,0,0
E_N001024_N001049,1829,missing,1,"[""E_N001024_N001035""]","[""missing""]",[2.2799999999999985],1,0,0
E_N001024_N001049,1829,missing,3,"[""E_N001024_N001035"",""E_N001029_N001049"",""E_N001038_N001049""]","[""missing"",""missing"",""missing""]","[2.2799999999999985,2.2800000000000002,2.280000000000001]",3,0,0
E_N001024_N001049,1829,missing,5,"[""E_N001024_N001035"",""E_N001029_N001049"",""E_N001038_N001049"",""E_N001029_N001035"",""E_N001043_N001049""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2800000000000002,2.280000000000001,3.224406922210656,3.2244069222106577]",5,0,0
E_N001024_N001049,1829,missing,10,"[""E_N001024_N001035"",""E_N001029_N001049"",""E_N001038_N001049"",""E_N001029_N001035"",""E_N001043_N001049"",""E_N001010_N001035"",""E_N001029_N002183"",""E_N001038_N001063"",""E_N001015_N001035"",""E_N001029_N002169""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2800000000000002,2.280000000000001,3.224406922210656,3.2244069222106577,4.559999999999999,4.56,4.560000000000002,5.098234988699519,5.098234988699519]",10,0,0
E_N001029_N001035,1803,missing,1,"[""E_N001029_N001049""]","[""missing""]",[2.2799999999999985],1,0,0
E_N001029_N001035,1803,missing,3,"[""E_N001029_N001049"",""E_N001029_N002169"",""E_N001015_N001035""]","[""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001029_N001035,1803,missing,5,"[""E_N001029_N001049"",""E_N001029_N002169"",""E_N001015_N001035"",""E_N001024_N001035"",""E_N001029_N002183""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.224406922210655]",5,0,0
E_N001029_N001035,1803,missing,10,"[""E_N001029_N001049"",""E_N001029_N002169"",""E_N001015_N001035"",""E_N001024_N001035"",""E_N001029_N002183"",""E_N001024_N001049"",""E_N001015_N002169"",""E_N001010_N001035"",""E_N001015_N001021"",""E_N001043_N001049""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.224406922210655,3.224406922210656,3.2244069222106564,3.2244069222106573,4.56,4.56]",10,0,0
E_N001029_N001049,1830,missing,1,"[""E_N001029_N001035""]","[""missing""]",[2.2799999999999985],1,0,0
E_N001029_N001049,1830,missing,3,"[""E_N001029_N001035"",""E_N001029_N002183"",""E_N001024_N001049""]","[""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001029_N001049,1830,missing,5,"[""E_N001029_N001035"",""E_N001029_N002183"",""E_N001024_N001049"",""E_N001043_N001049"",""E_N001029_N002169""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,3.224406922210655]",5,0,0
E_N001029_N001049,1830,missing,10,"[""E_N001029_N001035"",""E_N001029_N002183"",""E_N001024_N001049"",""E_N001043_N001049"",""E_N001029_N002169"",""E_N001024_N001035"",""E_N001043_N002183"",""E_N001038_N001049"",""E_N001015_N001035"",""E_N002163_N002183""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,3.224406922210655,3.224406922210656,3.2244069222106573,3.2244069222106577,4.559999999999999,4.56]",10,0,0
E_N001029_N002169,3816,missing,1,"[""E_N001029_N002183""]","[""missing""]",[2.2799999999999985],1,0,0
E_N001029_N002169,3816,missing,3,"[""E_N001029_N002183"",""E_N001029_N001035"",""E_N001015_N002169""]","[""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001029_N002169,3816,missing,5,"[""E_N001029_N002183"",""E_N001029_N001035"",""E_N001015_N002169"",""E_N002163_N002169"",""E_N001029_N001049""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.224406922210655]",5,0,0
E_N001029_N002169,3816,missing,10,"[""E_N001029_N002183"",""E_N001029_N001035"",""E_N001015_N002169"",""E_N002163_N002169"",""E_N001029_N001049"",""E_N002163_N002183"",""E_N001015_N001035"",""E_N002149_N002169"",""E_N002163_N003303"",""E_N001015_N002155""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,3.224406922210655,3.224406922210656,3.2244069222106564,3.2244069222106573,4.559999999999999,4.56]",10,0,0
E_N001029_N002183,3845,missing,1,"[""E_N001029_N002169""]","[""missing""]",[2.2799999999999985],1,0,0
E_N001029_N002183,3845,missing,3,"[""E_N001029_N002169"",""E_N001029_N001049"",""E_N002163_N002183""]","[""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002]",3,0,0
E_N001029_N002183,3845,missing,5,"[""E_N001029_N002169"",""E_N001029_N001049"",""E_N002163_N002183"",""E_N001043_N002183"",""E_N001029_N001035""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,3.224406922210655]",5,0,0
E_N001029_N002183,3845,missing,10,"[""E_N001029_N002169"",""E_N001029_N001049"",""E_N002163_N002183"",""E_N001043_N002183"",""E_N001029_N001035"",""E_N002163_N002169"",""E_N001043_N001049"",""E_N002177_N002183"",""E_N001015_N002169"",""E_N002163_N003317""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,3.224406922210655,3.224406922210656,3.2244069222106573,3.2244069222106577,4.559999999999999,4.559999999999999]",10,0,0
E_N001038_N001049,1828,missing,1,"[""E_N001043_N001049""]","[""missing""]",[2.2800000000000002],1,0,0
E_N001038_N001049,1828,missing,3,"[""E_N001043_N001049"",""E_N001024_N001049"",""E_N001038_N001063""]","[""missing"",""missing"",""missing""]","[2.2800000000000002,2.280000000000001,2.280000000000001]",3,0,0
E_N001038_N001049,1828,missing,5,"[""E_N001043_N001049"",""E_N001024_N001049"",""E_N001038_N001063"",""E_N001029_N001049"",""E_N001043_N001063""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2800000000000002,2.280000000000001,2.280000000000001,3.2244069222106577,3.2244069222106577]",5,0,0
E_N001038_N001049,1828,missing,10,"[""E_N001043_N001049"",""E_N001024_N001049"",""E_N001038_N001063"",""E_N001029_N001049"",""E_N001043_N001063"",""E_N001024_N001035"",""E_N001043_N002183"",""E_N001057_N001063"",""E_N001029_N001035"",""E_N001029_N002183""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2800000000000002,2.280000000000001,2.280000000000001,3.2244069222106577,3.2244069222106577,4.56,4.56,5.098234988699519,5.09823498869952,5.098234988699521]",10,0,0
E_N001038_N001063,1857,missing,1,"[""E_N001043_N001063""]","[""missing""]",[2.2800000000000002],1,0,0
E_N001038_N001063,1857,missing,3,"[""E_N001043_N001063"",""E_N001038_N001049"",""E_N001057_N001063""]","[""missing"",""missing"",""missing""]","[2.2800000000000002,2.280000000000001,3.224406922210655]",3,0,0
E_N001038_N001063,1857,missing,5,"[""E_N001043_N001063"",""E_N001038_N001049"",""E_N001057_N001063"",""E_N001043_N001049"",""E_N001043_N002197""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2800000000000002,2.280000000000001,3.224406922210655,3.2244069222106577,4.56]",5,0,0
E_N001038_N001063,1857,missing,10,"[""E_N001043_N001063"",""E_N001038_N001049"",""E_N001057_N001063"",""E_N001043_N001049"",""E_N001043_N002197"",""E_N001024_N001049"",""E_N001057_N001077"",""E_N001057_N002197"",""E_N001043_N002183"",""E_N001029_N001049""]","[""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2800000000000002,2.280000000000001,3.224406922210655,3.2244069222106577,4.56,4.560000000000002,5.098234988699519,5.098234988699519,5.098234988699521,5.098234988699522]",10,0,0
E_N001043_N001049,1831,missing,1,"[""E_N001043_N002183""]","[""missing""]",[2.2799999999999994],1,0,0
E_N001043_N001049,1831,missing,3,"[""E_N001043_N002183"",""E_N001038_N001049"",""E_N001029_N001049""]","[""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.280000000000001]",3,0,0
E_N001043_N001049,1831,missing,5,"[""E_N001043_N002183"",""E_N001038_N001049"",""E_N001029_N001049"",""E_N001043_N001063"",""E_N001029_N002183""]","[""missing"",""missing"",""missing"",""missing"",""missing""]","[2.2799999999999994,2.2800000000000002,2.280000000000001,2.280000000000001,3.2244069222106573]",5,0,0
