kind,lat0_i,lat0_j,lat0_k,lat1_i,lat1_j,lat1_k,x0,y0,z0,x1,y1,z1
record_deleted,1.5,0.5,6.0,2.0,0.0,6.0,177.619,92.382,500.314,216.907,52.693,500.456
record_deleted,1.5,0.5,6.0,2.0,0.5,6.5,177.619,92.382,500.314,217.075,92.290,539.836
record_deleted,1.5,0.5,6.0,2.0,1.0,6.0,177.619,92.382,500.314,217.309,131.669,500.238
record_deleted,1.5,1.0,6.5,2.0,0.5,6.5,177.788,131.979,539.694,217.075,92.290,539.836
record_deleted,2.0,0.0,6.0,2.5,0.0,6.5,216.907,52.693,500.456,256.363,52.601,539.978
record_deleted,2.0,0.0,7.0,2.0,0.5,6.5,216.842,52.911,579.434,217.075,92.290,539.836
record_deleted,2.0,0.0,7.0,2.5,0.0,6.5,216.842,52.911,579.434,256.363,52.601,539.978
record_deleted,2.0,0.5,6.5,2.5,0.0,6.5,217.075,92.290,539.836,256.363,52.601,539.978
record_deleted,2.0,0.5,6.5,2.5,0.5,6.0,217.075,92.290,539.836,256.596,91.980,500.380
record_deleted,2.0,0.5,6.5,2.5,0.5,7.0,217.075,92.290,539.836,256.532,92.199,579.357
record_deleted,2.0,0.5,6.5,2.5,1.0,6.5,217.075,92.290,539.836,256.765,131.578,539.759
record_deleted,2.5,0.0,6.5,2.5,0.5,6.0,256.363,52.601,539.978,256.596,91.980,500.380
record_deleted,2.5,0.0,6.5,2.5,0.5,7.0,256.363,52.601,539.978,256.532,92.199,579.357
record_deleted,2.5,0.0,6.5,3.0,0.0,6.0,256.363,52.601,539.978,295.883,52.291,500.522
record_deleted,2.5,0.0,6.5,3.0,0.0,7.0,256.363,52.601,539.978,295.819,52.510,579.499
record_deleted,2.5,0.0,6.5,3.0,0.5,6.5,256.363,52.601,539.978,296.052,91.889,539.901
record_deleted,2.5,0.5,6.0,2.5,1.0,6.5,256.596,91.980,500.380,256.765,131.578,539.759
record_deleted,2.5,0.5,6.0,3.0,0.5,6.5,256.596,91.980,500.380,296.052,91.889,539.901
record_deleted,2.5,0.5,7.0,2.5,1.0,6.5,256.532,92.199,579.357,256.765,131.578,539.759
record_deleted,2.5,0.5,7.0,3.0,0.5,6.5,256.532,92.199,579.357,296.052,91.889,539.901
record_deleted,2.5,1.0,6.5,3.0,0.5,6.5,256.765,131.578,539.759,296.052,91.889,539.901
record_deleted,3.0,0.0,6.0,3.0,0.5,6.5,295.883,52.291,500.522,296.052,91.889,539.901
record_deleted,3.0,0.0,6.0,3.5,0.0,6.5,295.883,52.291,500.522,335.339,52.200,540.043
record_deleted,3.0,0.0,6.0,3.5,0.5,6.0,295.883,52.291,500.522,335.572,91.578,500.445
record_deleted,3.0,0.0,7.0,3.0,0.5,6.5,295.819,52.510,579.499,296.052,91.889,539.901
record_deleted,3.0,0.0,7.0,3.5,0.0,6.5,295.819,52.510,579.499,335.339,52.200,540.043
record_deleted,3.0,0.5,6.5,3.0,1.0,6.0,296.052,91.889,539.901,296.285,131.267,500.303
record_deleted,3.0,0.5,6.5,3.0,1.0,7.0,296.052,91.889,539.901,296.221,131.486,579.281
record_deleted,3.0,0.5,6.5,3.5,0.5,6.0,296.052,91.889,539.901,335.572,91.578,500.445
record_deleted,3.0,0.5,6.5,3.5,0.5,7.0,296.052,91.889,539.901,335.508,91.797,579.423
record_deleted,3.0,0.5,6.5,3.5,1.0,6.5,296.052,91.889,539.901,335.741,131.176,539.825
record_deleted,3.0,1.0,6.0,3.5,0.5,6.0,296.285,131.267,500.303,335.572,91.578,500.445
record_deleted,3.5,0.0,6.5,4.0,0.0,6.0,335.339,52.200,540.043,374.860,51.889,500.587
record_deleted,3.5,0.0,6.5,4.0,0.0,7.0,335.339,52.200,540.043,374.796,52.108,579.565
record_deleted,3.5,0.5,6.0,4.0,0.0,6.0,335.572,91.578,500.445,374.860,51.889,500.587
record_deleted,3.5,0.5,6.0,4.0,1.0,6.0,335.572,91.578,500.445,375.262,130.866,500.369
record_deleted,7.0,0.0,7.0,7.5,0.0,6.5,611.725,50.903,579.761,651.246,50.593,540.305
record_deleted,7.0,0.5,6.5,7.5,0.0,6.5,611.958,90.282,540.163,651.246,50.593,540.305
record_deleted,7.0,0.5,6.5,7.5,0.5,6.0,611.958,90.282,540.163,651.479,89.972,500.707
record_deleted,7.0,0.5,6.5,7.5,0.5,7.0,611.958,90.282,540.163,651.414,90.191,579.684
record_deleted,7.0,0.5,6.5,7.5,1.0,6.5,611.958,90.282,540.163,651.647,129.570,540.086
record_deleted,7.5,0.0,6.5,7.5,0.5,6.0,651.246,50.593,540.305,651.479,89.972,500.707
record_deleted,7.5,0.0,6.5,7.5,0.5,7.0,651.246,50.593,540.305,651.414,90.191,579.684
record_deleted,7.5,0.0,6.5,8.0,0.0,6.0,651.246,50.593,540.305,690.766,50.283,500.849
record_deleted,7.5,0.0,6.5,8.0,0.0,7.0,651.246,50.593,540.305,690.702,50.502,579.826
record_deleted,7.5,0.0,6.5,8.0,0.5,6.5,651.246,50.593,540.305,690.935,89.881,540.228
record_deleted,7.5,0.5,6.0,7.5,1.0,6.5,651.479,89.972,500.707,651.647,129.570,540.086
record_deleted,7.5,0.5,6.0,8.0,0.5,6.5,651.479,89.972,500.707,690.935,89.881,540.228
record_deleted,7.5,0.5,7.0,7.5,1.0,6.5,651.414,90.191,579.684,651.647,129.570,540.086
record_deleted,7.5,0.5,7.0,8.0,0.5,6.5,651.414,90.191,579.684,690.935,89.881,540.228
record_deleted,7.5,1.0,6.5,8.0,0.5,6.5,651.647,129.570,540.086,690.935,89.881,540.228
record_deleted,8.0,0.0,6.0,8.5,0.5,6.0,690.766,50.283,500.849,730.455,89.570,500.773
record_deleted,8.0,6.5,6.5,8.5,6.5,6.0,693.346,563.738,538.917,732.866,563.428,499.462
record_deleted,8.0,6.5,6.5,8.5,6.5,7.0,693.346,563.738,538.917,732.802,563.647,578.439
record_deleted,8.5,0.5,6.0,9.0,0.0,6.0,730.455,89.570,500.773,769.743,49.881,500.914
record_deleted,8.5,0.5,6.0,9.0,1.0,6.0,730.455,89.570,500.773,770.145,128.858,500.696
anchor_missing,0.0,0.0,0.0,0.5,0.5,0.0,59.340,52.183,26.462,99.029,91.470,26.385
anchor_missing,0.0,0.5,0.5,0.5,0.5,0.0,59.508,91.780,65.841,99.029,91.470,26.385
anchor_missing,0.0,1.0,0.0,0.5,0.5,0.0,59.741,131.159,26.243,99.029,91.470,26.385
anchor_missing,0.5,0.0,0.5,0.5,0.5,0.0,98.796,52.092,65.983,99.029,91.470,26.385
anchor_missing,0.5,0.5,0.0,0.5,1.0,0.5,99.029,91.470,26.385,99.197,131.068,65.765
anchor_missing,0.5,0.5,0.0,1.0,0.0,0.0,99.029,91.470,26.385,138.316,51.781,26.527
anchor_missing,0.5,0.5,0.0,1.0,0.5,0.5,99.029,91.470,26.385,138.485,91.379,65.907
anchor_missing,0.5,0.5,0.0,1.0,1.0,0.0,99.029,91.470,26.385,138.718,130.758,26.309
anchor_missing,1.0,0.0,0.0,1.5,0.0,0.5,138.316,51.781,26.527,177.772,51.690,66.049
anchor_missing,1.0,0.0,1.0,1.5,0.0,0.5,138.252,52.000,105.504,177.772,51.690,66.049
anchor_missing,1.0,0.5,0.5,1.5,0.0,0.5,138.485,91.379,65.907,177.772,51.690,66.049
anchor_missing,1.5,0.0,0.5,1.5,0.5,0.0,177.772,51.690,66.049,178.005,91.069,26.451
anchor_missing,1.5,0.0,0.5,1.5,0.5,1.0,177.772,51.690,66.049,177.941,91.287,105.428
anchor_missing,1.5,0.0,0.5,2.0,0.0,0.0,177.772,51.690,66.049,217.293,51.380,26.593
anchor_missing,1.5,0.0,0.5,2.0,0.0,1.0,177.772,51.690,66.049,217.228,51.599,105.570
anchor_missing,1.5,0.0,0.5,2.0,0.5,0.5,177.772,51.690,66.049,217.461,90.977,65.972
