edge_id,source_strut_id,source_class,k,neighbor_edge_ids,neighbor_categories,neighbor_distances_mm,present_neighbor_count,unintentional_missing_neighbor_count,unintentional_broken_neighbor_count,intentional_missing_neighbor_count,resolved_neighbor_count,unresolved_neighbor_count
E_N000361_N000363,625,unintentional_broken,5,"[""E_N000352_N000361"",""E_N000352_N000363"",""E_N000359_N000361"",""E_N000359_N000363"",""E_N000357_N000361""]","[""present"",""present"","""","""",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289]",2,0,0,0,2,3
E_N000361_N000363,625,unintentional_broken,10,"[""E_N000352_N000361"",""E_N000352_N000363"",""E_N000359_N000361"",""E_N000359_N000363"",""E_N000357_N000361"",""E_N000357_N000363"",""E_N000358_N000361"",""E_N000358_N000363"",""E_N000352_N000359"",""E_N000357_N000358""]","[""present"",""present"","""","""","""","""",""present"",""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,1.6122034611053289,1.6122034611053289,1.6122034611053289,2.28,2.28]",6,0,0,0,6,4
E_N001010_N001021,1772,unintentional_missing,1,"[""E_N001010_N001017""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001010_N001021,1772,unintentional_missing,3,"[""E_N001010_N001017"",""E_N001010_N001019"",""E_N001019_N001021""]","[""present"",""present"",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,1
E_N001010_N001021,1772,unintentional_missing,5,"[""E_N001010_N001017"",""E_N001010_N001019"",""E_N001019_N001021"",""E_N001017_N001021"",""E_N001010_N001035""]","[""present"",""present"","""","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999994]",2,1,0,0,3,2
E_N001010_N001021,1772,unintentional_missing,10,"[""E_N001010_N001017"",""E_N001010_N001019"",""E_N001019_N001021"",""E_N001017_N001021"",""E_N001010_N001035"",""E_N001011_N001021"",""E_N001015_N001021"",""E_N001017_N001019"",""E_N001010_N001031"",""E_N001019_N001035""]","[""present"",""present"","""","""",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728228,2.7924183067728228]",5,3,0,0,8,2
E_N001010_N001035,1801,unintentional_missing,1,"[""E_N001010_N001019""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001010_N001035,1801,unintentional_missing,3,"[""E_N001010_N001019"",""E_N001010_N001031"",""E_N001019_N001035""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",3,0,0,0,3,0
E_N001010_N001035,1801,unintentional_missing,5,"[""E_N001010_N001019"",""E_N001010_N001031"",""E_N001019_N001035"",""E_N001031_N001035"",""E_N001010_N001021""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999994]",4,1,0,0,5,0
E_N001010_N001035,1801,unintentional_missing,10,"[""E_N001010_N001019"",""E_N001010_N001031"",""E_N001019_N001035"",""E_N001031_N001035"",""E_N001010_N001021"",""E_N001015_N001035"",""E_N001024_N001035"",""E_N001019_N001031"",""E_N001010_N001017"",""E_N001019_N001021""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present"",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728228,2.7924183067728228]",6,3,0,0,9,1
E_N001011_N001021,1773,unintentional_missing,1,"[""E_N001011_N001017""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001011_N001021,1773,unintentional_missing,3,"[""E_N001011_N001017"",""E_N001011_N001018"",""E_N001017_N001021""]","[""present"","""",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",1,0,0,0,1,2
E_N001011_N001021,1773,unintentional_missing,5,"[""E_N001011_N001017"",""E_N001011_N001018"",""E_N001017_N001021"",""E_N001018_N001021"",""E_N001010_N001021""]","[""present"","""","""","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2800000000000002]",1,1,0,0,2,3
E_N001011_N001021,1773,unintentional_missing,10,"[""E_N001011_N001017"",""E_N001011_N001018"",""E_N001017_N001021"",""E_N001018_N001021"",""E_N001010_N001021"",""E_N001012_N001021"",""E_N001017_N001018"",""E_N001010_N001017"",""E_N001012_N001018"",""E_N001016_N001021""]","[""present"","""","""","""",""unintentional_missing"",""unintentional_missing"","""",""present"","""",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728237,2.7924183067728237,2.7924183067728237]",2,2,0,0,4,6
E_N001012_N001016,3779,unintentional_missing,1,"[""E_N001012_N001018""]","[""""]",[1.612203461105328],0,0,0,0,0,1
E_N001012_N001016,3779,unintentional_missing,3,"[""E_N001012_N001018"",""E_N001012_N002152"",""E_N001016_N001021""]","["""",""unintentional_missing"",""""]","[1.612203461105328,1.612203461105328,1.612203461105328]",0,1,0,0,1,2
E_N001012_N001016,3779,unintentional_missing,5,"[""E_N001012_N001018"",""E_N001012_N002152"",""E_N001016_N001021"",""E_N001016_N002155"",""E_N001012_N001021""]","["""",""unintentional_missing"","""",""present"",""unintentional_missing""]","[1.612203461105328,1.612203461105328,1.612203461105328,1.612203461105328,1.6122034611053286]",1,2,0,0,3,2
E_N001012_N001016,3779,unintentional_missing,10,"[""E_N001012_N001018"",""E_N001012_N002152"",""E_N001016_N001021"",""E_N001016_N002155"",""E_N001012_N001021"",""E_N001012_N002155"",""E_N001016_N001018"",""E_N001016_N002152"",""E_N001018_N001021"",""E_N001015_N001016""]","["""",""unintentional_missing"","""",""present"",""unintentional_missing"",""unintentional_missing"","""","""","""",""present""]","[1.612203461105328,1.612203461105328,1.612203461105328,1.612203461105328,1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.28,2.2800000000000002]",2,3,0,0,5,5
E_N001012_N001021,1774,unintentional_missing,1,"[""E_N001012_N001016""]","[""unintentional_missing""]",[1.6122034611053286],0,1,0,0,1,0
E_N001012_N001021,1774,unintentional_missing,3,"[""E_N001012_N001016"",""E_N001012_N001018"",""E_N001016_N001021""]","[""unintentional_missing"","""",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",0,1,0,0,1,2
E_N001012_N001021,1774,unintentional_missing,5,"[""E_N001012_N001016"",""E_N001012_N001018"",""E_N001016_N001021"",""E_N001018_N001021"",""E_N001012_N002155""]","[""unintentional_missing"","""","""","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999994]",0,2,0,0,2,3
E_N001012_N001021,1774,unintentional_missing,10,"[""E_N001012_N001016"",""E_N001012_N001018"",""E_N001016_N001021"",""E_N001018_N001021"",""E_N001012_N002155"",""E_N001011_N001021"",""E_N001015_N001021"",""E_N001016_N001018"",""E_N001012_N002152"",""E_N001016_N002155""]","[""unintentional_missing"","""","""","""",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"","""",""unintentional_missing"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728228,2.7924183067728228]",1,5,0,0,6,4
E_N001012_N002152,3781,unintentional_missing,1,"[""E_N001012_N001016""]","[""unintentional_missing""]",[1.612203461105328],0,1,0,0,1,0
E_N001012_N002152,3781,unintentional_missing,3,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001016_N002152""]","[""unintentional_missing"",""unintentional_missing"",""""]","[1.612203461105328,1.6122034611053286,1.6122034611053286]",0,2,0,0,2,1
E_N001012_N002152,3781,unintentional_missing,5,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001016_N002152"",""E_N002152_N002155"",""E_N001012_N001018""]","[""unintentional_missing"",""unintentional_missing"","""","""",""""]","[1.612203461105328,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2799999999999994]",0,2,0,0,2,3
E_N001012_N002152,3781,unintentional_missing,10,"[""E_N001012_N001016"",""E_N001012_N002155"",""E_N001016_N002152"",""E_N002152_N002155"",""E_N001012_N001018"",""E_N001016_N002155"",""E_N002146_N002152"",""E_N000886_N002152"",""E_N001012_N001021"",""E_N001016_N001018""]","[""unintentional_missing"",""unintentional_missing"","""","""","""",""present"","""","""",""unintentional_missing"",""""]","[1.612203461105328,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2799999999999994,2.28,2.2800000000000002,2.280000000000001,2.7924183067728228,2.7924183067728228]",1,3,0,0,4,6
E_N001012_N002155,3789,unintentional_missing,1,"[""E_N001012_N001016""]","[""unintentional_missing""]",[1.6122034611053286],0,1,0,0,1,0
E_N001012_N002155,3789,unintentional_missing,3,"[""E_N001012_N001016"",""E_N001012_N002152"",""E_N001016_N002155""]","[""unintentional_missing"",""unintentional_missing"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",1,2,0,0,3,0
E_N001012_N002155,3789,unintentional_missing,5,"[""E_N001012_N001016"",""E_N001012_N002152"",""E_N001016_N002155"",""E_N002152_N002155"",""E_N001012_N001021""]","[""unintentional_missing"",""unintentional_missing"",""present"","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999994]",1,3,0,0,4,1
E_N001012_N002155,3789,unintentional_missing,10,"[""E_N001012_N001016"",""E_N001012_N002152"",""E_N001016_N002155"",""E_N002152_N002155"",""E_N001012_N001021"",""E_N001015_N002155"",""E_N002146_N002155"",""E_N001016_N002152"",""E_N001012_N001018"",""E_N001016_N001021""]","[""unintentional_missing"",""unintentional_missing"",""present"","""",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"","""","""",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728228,2.7924183067728228]",1,5,0,0,6,4
E_N001015_N001021,1775,unintentional_missing,1,"[""E_N001015_N001016""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001015_N001021,1775,unintentional_missing,3,"[""E_N001015_N001016"",""E_N001015_N001019"",""E_N001016_N001021""]","[""present"",""present"",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289]",2,0,0,0,2,1
E_N001015_N001021,1775,unintentional_missing,5,"[""E_N001015_N001016"",""E_N001015_N001019"",""E_N001016_N001021"",""E_N001019_N001021"",""E_N001015_N001035""]","[""present"",""present"","""","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289,1.6122034611053289,2.2799999999999994]",2,1,0,0,3,2
E_N001015_N001021,1775,unintentional_missing,10,"[""E_N001015_N001016"",""E_N001015_N001019"",""E_N001016_N001021"",""E_N001019_N001021"",""E_N001015_N001035"",""E_N001015_N002155"",""E_N001010_N001021"",""E_N001012_N001021"",""E_N001016_N001019"",""E_N001015_N001030""]","[""present"",""present"","""","""",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289,1.6122034611053289,2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728223]",4,4,0,0,8,2
E_N001015_N001035,1802,unintentional_missing,1,"[""E_N001015_N001019""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001015_N001035,1802,unintentional_missing,3,"[""E_N001015_N001019"",""E_N001015_N001030"",""E_N001019_N001035""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289]",3,0,0,0,3,0
E_N001015_N001035,1802,unintentional_missing,5,"[""E_N001015_N001019"",""E_N001015_N001030"",""E_N001019_N001035"",""E_N001030_N001035"",""E_N001015_N001021""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999994]",4,1,0,0,5,0
E_N001015_N001035,1802,unintentional_missing,10,"[""E_N001015_N001019"",""E_N001015_N001030"",""E_N001019_N001035"",""E_N001030_N001035"",""E_N001015_N001021"",""E_N001015_N002169"",""E_N001010_N001035"",""E_N001029_N001035"",""E_N001019_N001030"",""E_N001015_N001016""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728223]",6,4,0,0,10,0
E_N001015_N002155,3788,unintentional_missing,1,"[""E_N001015_N001016""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001015_N002155,3788,unintentional_missing,3,"[""E_N001015_N001016"",""E_N001015_N002153"",""E_N001016_N002155""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289]",3,0,0,0,3,0
E_N001015_N002155,3788,unintentional_missing,5,"[""E_N001015_N001016"",""E_N001015_N002153"",""E_N001016_N002155"",""E_N002153_N002155"",""E_N001015_N001021""]","[""present"",""present"",""present"","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999994]",3,1,0,0,4,1
E_N001015_N002155,3788,unintentional_missing,10,"[""E_N001015_N001016"",""E_N001015_N002153"",""E_N001016_N002155"",""E_N002153_N002155"",""E_N001015_N001021"",""E_N001015_N002169"",""E_N001012_N002155"",""E_N002149_N002155"",""E_N001016_N002153"",""E_N001015_N001030""]","[""present"",""present"",""present"","""",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728223]",5,4,0,0,9,1
E_N001015_N002169,3817,unintentional_missing,1,"[""E_N001015_N001030""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001015_N002169,3817,unintentional_missing,3,"[""E_N001015_N001030"",""E_N001015_N002153"",""E_N001030_N002169""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329]",3,0,0,0,3,0
E_N001015_N002169,3817,unintentional_missing,5,"[""E_N001015_N001030"",""E_N001015_N002153"",""E_N001030_N002169"",""E_N002153_N002169"",""E_N001015_N001035""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999994]",4,1,0,0,5,0
E_N001015_N002169,3817,unintentional_missing,10,"[""E_N001015_N001030"",""E_N001015_N002153"",""E_N001030_N002169"",""E_N002153_N002169"",""E_N001015_N001035"",""E_N001015_N002155"",""E_N001029_N002169"",""E_N002149_N002169"",""E_N001030_N002153"",""E_N001015_N001016""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999994,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.7924183067728223]",6,4,0,0,10,0
E_N001024_N001035,1800,unintentional_missing,1,"[""E_N001024_N001031""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001024_N001035,1800,unintentional_missing,3,"[""E_N001024_N001031"",""E_N001024_N001033"",""E_N001031_N001035""]","[""present"","""",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,1
E_N001024_N001035,1800,unintentional_missing,5,"[""E_N001024_N001031"",""E_N001024_N001033"",""E_N001031_N001035"",""E_N001033_N001035"",""E_N001024_N001049""]","[""present"","""",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2799999999999985]",3,1,0,0,4,1
E_N001024_N001035,1800,unintentional_missing,10,"[""E_N001024_N001031"",""E_N001024_N001033"",""E_N001031_N001035"",""E_N001033_N001035"",""E_N001024_N001049"",""E_N001010_N001035"",""E_N001029_N001035"",""E_N001031_N001033"",""E_N001024_N001045"",""E_N001033_N001049""]","[""present"","""",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2799999999999985,2.2800000000000002,2.2800000000000002,2.280000000000001,2.792418306772822,2.792418306772822]",6,3,0,0,9,1
E_N001024_N001049,1829,unintentional_missing,1,"[""E_N001024_N001033""]","[""""]",[1.6122034611053278],0,0,0,0,0,1
E_N001024_N001049,1829,unintentional_missing,3,"[""E_N001024_N001033"",""E_N001024_N001045"",""E_N001033_N001049""]","["""",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,1
E_N001024_N001049,1829,unintentional_missing,5,"[""E_N001024_N001033"",""E_N001024_N001045"",""E_N001033_N001049"",""E_N001045_N001049"",""E_N001024_N001035""]","["""",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985]",3,1,0,0,4,1
E_N001024_N001049,1829,unintentional_missing,10,"[""E_N001024_N001033"",""E_N001024_N001045"",""E_N001033_N001049"",""E_N001045_N001049"",""E_N001024_N001035"",""E_N001029_N001049"",""E_N001033_N001045"",""E_N001038_N001049"",""E_N001024_N001031"",""E_N001033_N001035""]","["""",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772822,2.792418306772822]",6,3,0,0,9,1
E_N001029_N001035,1803,unintentional_missing,1,"[""E_N001029_N001030""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001029_N001035,1803,unintentional_missing,3,"[""E_N001029_N001030"",""E_N001029_N001033"",""E_N001030_N001035""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",3,0,0,0,3,0
E_N001029_N001035,1803,unintentional_missing,5,"[""E_N001029_N001030"",""E_N001029_N001033"",""E_N001030_N001035"",""E_N001033_N001035"",""E_N001029_N001049""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999985]",4,1,0,0,5,0
E_N001029_N001035,1803,unintentional_missing,10,"[""E_N001029_N001030"",""E_N001029_N001033"",""E_N001030_N001035"",""E_N001033_N001035"",""E_N001029_N001049"",""E_N001029_N002169"",""E_N001015_N001035"",""E_N001024_N001035"",""E_N001030_N001033"",""E_N001029_N001044""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.792418306772822]",6,4,0,0,10,0
E_N001029_N001049,1830,unintentional_missing,1,"[""E_N001029_N001033""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N001029_N001049,1830,unintentional_missing,3,"[""E_N001029_N001033"",""E_N001029_N001044"",""E_N001033_N001049""]","[""present"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053289]",3,0,0,0,3,0
E_N001029_N001049,1830,unintentional_missing,5,"[""E_N001029_N001033"",""E_N001029_N001044"",""E_N001033_N001049"",""E_N001044_N001049"",""E_N001029_N001035""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N001029_N001049,1830,unintentional_missing,10,"[""E_N001029_N001033"",""E_N001029_N001044"",""E_N001033_N001049"",""E_N001044_N001049"",""E_N001029_N001035"",""E_N001029_N002183"",""E_N001024_N001049"",""E_N001033_N001044"",""E_N001043_N001049"",""E_N001029_N001030""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772822]",6,4,0,0,10,0
E_N001029_N002169,3816,unintentional_missing,1,"[""E_N001029_N001030""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001029_N002169,3816,unintentional_missing,3,"[""E_N001029_N001030"",""E_N001029_N002167"",""E_N001030_N002169""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",3,0,0,0,3,0
E_N001029_N002169,3816,unintentional_missing,5,"[""E_N001029_N001030"",""E_N001029_N002167"",""E_N001030_N002169"",""E_N002167_N002169"",""E_N001029_N002183""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N001029_N002169,3816,unintentional_missing,10,"[""E_N001029_N001030"",""E_N001029_N002167"",""E_N001030_N002169"",""E_N002167_N002169"",""E_N001029_N002183"",""E_N001029_N001035"",""E_N001015_N002169"",""E_N002163_N002169"",""E_N001030_N002167"",""E_N001029_N001044""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.792418306772822]",6,4,0,0,10,0
E_N001029_N002183,3845,unintentional_missing,1,"[""E_N001029_N002167""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N001029_N002183,3845,unintentional_missing,3,"[""E_N001029_N002167"",""E_N001029_N001044"",""E_N001044_N002183""]","[""present"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.612203461105329]",3,0,0,0,3,0
E_N001029_N002183,3845,unintentional_missing,5,"[""E_N001029_N002167"",""E_N001029_N001044"",""E_N001044_N002183"",""E_N002167_N002183"",""E_N001029_N002169""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N001029_N002183,3845,unintentional_missing,10,"[""E_N001029_N002167"",""E_N001029_N001044"",""E_N001044_N002183"",""E_N002167_N002183"",""E_N001029_N002169"",""E_N001029_N001049"",""E_N002163_N002183"",""E_N001043_N002183"",""E_N001044_N002167"",""E_N001029_N001030""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772822]",6,4,0,0,10,0
E_N001038_N001049,1828,unintentional_missing,1,"[""E_N001038_N001045""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N001038_N001049,1828,unintentional_missing,3,"[""E_N001038_N001045"",""E_N001047_N001049"",""E_N001038_N001047""]","[""present"","""",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329]",2,0,0,0,2,1
E_N001038_N001049,1828,unintentional_missing,5,"[""E_N001038_N001045"",""E_N001047_N001049"",""E_N001038_N001047"",""E_N001045_N001049"",""E_N001043_N001049""]","[""present"","""",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2800000000000002]",3,1,0,0,4,1
