rank,edge_id,source_strut_id,design_state,mean_delta_mm,output_path,crop_shape_zyx,display_vmin,display_vmax,axial_max_median,axial_p95_median,axial_mean_median,centerline_median,axial_material_fraction_median,axial_material_fraction_min,axial_material_fraction_max
57,E_N002219_N002225,3931,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_057_E_N002219_N002225_ct_panel.png,"[61, 36, 97]",30229.11,47933.967000000004,32353.67578125,32146.18544921875,31673.275390625,31581.61328125,0.0,0.0,0.0
58,E_N003339_N004493,7961,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_058_E_N003339_N004493_ct_panel.png,"[62, 35, 98]",30172.0,48227.06899999996,32234.431640625,32074.191699218747,31608.54296875,31504.65234375,0.0,0.0,0.0
59,E_N003353_N003359,5947,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_059_E_N003353_N003359_ct_panel.png,"[61, 35, 97]",30158.0,48207.71799999999,32282.36328125,32069.912109375,31634.40234375,31513.09765625,0.0,0.0,0.0
60,E_N003521_N003525,6251,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_060_E_N003521_N003525_ct_panel.png,"[61, 98, 26]",30433.0,53786.47100000011,45418.9296875,33234.79296874997,6152.6884765625,0.0,0.017543859649122806,0.009569377990430622,0.0685805422647528
61,E_N003521_N004659,8265,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_061_E_N003521_N004659_ct_panel.png,"[62, 97, 26]",30499.0,53767.46599999996,34076.30859375,32329.175488281246,5851.4755859375,0.0,0.0,0.0,0.11642743221690591
62,E_N004487_N004493,7963,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_062_E_N004487_N004493_ct_panel.png,"[61, 35, 97]",30145.0,48160.58999999997,32227.57421875,32070.659472656247,31605.287109375,31533.228515625,0.0,0.0,0.0
63,E_N007049_N007053,12519,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_063_E_N007049_N007053_ct_panel.png,"[61, 98, 26]",30595.0,52388.87600000005,42523.9296875,32979.501953125,6080.61328125,0.0,0.009569377990430622,0.004784688995215311,0.022328548644338118
64,E_N007049_N008313,14752,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_064_E_N007049_N008313_ct_panel.png,"[61, 97, 26]",30713.0,51982.632000000216,42150.99609375,32942.842578125,6047.583984375,0.0,0.009569377990430622,0.006379585326953748,0.044657097288676235
65,E_N008183_N009447,16876,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_065_E_N008183_N009447_ct_panel.png,"[61, 97, 26]",30639.41,51620.43100000004,42026.76953125,34014.36621093749,6191.080078125,0.0,0.009569377990430622,0.003189792663476874,0.06379585326953748
66,E_N008309_N009447,16877,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_066_E_N008309_N009447_ct_panel.png,"[61, 98, 26]",30623.0,51397.438000000024,42308.53125,34112.002539062494,6236.28271484375,0.0,0.011164274322169059,0.003189792663476874,0.09090909090909091
67,E_N009317_N009447,16878,phase2c_still_review_required,3.35,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_067_E_N009317_N009447_ct_panel.png,"[62, 97, 26]",25772.63,50296.91099999999,42841.796875,34465.03925781249,6247.412109375,0.0,0.012759170653907496,0.0,0.08452950558213716
68,E_N001128_N002267,4031,phase2c_still_review_required,3.3125000000000004,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_068_E_N001128_N002267_ct_panel.png,"[61, 76, 59]",30707.0,53276.72399999993,50207.1796875,41428.77363281249,33534.0,32382.98828125,0.06220095693779904,0.022328548644338118,0.5741626794258373
69,E_N003396_N004535,8063,phase2c_still_review_required,3.3125000000000004,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_069_E_N003396_N004535_ct_panel.png,"[61, 76, 59]",30430.23,54132.43099999998,51858.55859375,39969.86562499999,33000.8046875,31665.7578125,0.051036682615629984,0.02073365231259968,0.5422647527910686
70,E_N006419_N007683,13616,phase2c_still_review_required,3.3125000000000004,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_070_E_N006419_N007683_ct_panel.png,"[61, 98, 24]",30295.0,53401.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,E_N000371_N000377,867,phase2c_still_review_required,3.3106046365914787,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_071_E_N000371_N000377_ct_panel.png,"[62, 58, 65]",30570.0,56167.782999999996,52544.7265625,46756.48378906248,34582.4921875,32759.6328125,0.1251993620414673,0.09090909090909091,0.5996810207336523
72,E_N004277_N005541,9804,phase2c_still_review_required,3.2916666666666665,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_072_E_N004277_N005541_ct_panel.png,"[61, 97, 24]",30536.0,54457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,E_N001889_N002010,3553,phase2c_still_review_required,3.28125,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_073_E_N001889_N002010_ct_panel.png,"[61, 98, 59]",30333.0,54644.484999999986,51171.9609375,39201.0177734375,33270.4453125,32341.0625,0.04784688995215311,0.03987240829346093,0.5151515151515151
74,E_N003143_N004407,7788,phase2c_still_review_required,3.28125,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_074_E_N003143_N004407_ct_panel.png,"[61, 97, 24]",30385.0,54709.936999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,E_N010199_N010203,18447,phase2c_still_review_required,3.28125,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_075_E_N010199_N010203_ct_panel.png,"[61, 75, 24]",20155.99,49970.04500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,E_N002262_N003401,6047,phase2c_still_review_required,3.2708333333333335,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_076_E_N002262_N003401_ct_panel.png,"[61, 76, 59]",30328.0,52821.585999999894,50796.92578125,40825.25214843749,33006.390625,31737.62109375,0.05582137161084529,0.023923444976076555,0.5422647527910686
77,E_N003395_N003399,6027,phase2c_still_review_required,3.2708333333333335,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_077_E_N003395_N003399_ct_panel.png,"[62, 76, 23]",30479.0,53267.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,E_N005663_N005667,10059,phase2c_still_review_required,3.2708333333333335,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_078_E_N005663_N005667_ct_panel.png,"[61, 76, 23]",30589.0,53669.35700000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,E_N006545_N006549,11603,phase2c_still_review_required,3.2708333333333335,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_079_E_N006545_N006549_ct_panel.png,"[61, 97, 24]",30337.0,53523.97899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,E_N006797_N006801,12075,phase2c_still_review_required,3.2708333333333335,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_080_E_N006797_N006801_ct_panel.png,"[61, 75, 23]",30498.0,52792.607999999935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,E_N000870_N001005,1740,phase2c_still_review_required,3.2604166666666665,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_081_E_N000870_N001005_ct_panel.png,"[61, 98, 24]",32203.0,57285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,E_N000996_N001131,1992,phase2c_still_review_required,3.2604166666666665,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_082_E_N000996_N001131_ct_panel.png,"[61, 97, 23]",31906.9,56972.73000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,E_N004529_N004533,8043,phase2c_still_review_required,3.2604166666666665,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_083_E_N004529_N004533_ct_panel.png,"[61, 76, 23]",30489.0,53770.9040000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,E_N000749_N002013,3536,phase2c_still_review_required,3.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_084_E_N000749_N002013_ct_panel.png,"[62, 98, 24]",30893.0,54136.247999999905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,E_N000875_N000879,1523,phase2c_still_review_required,3.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_085_E_N000875_N000879_ct_panel.png,"[61, 97, 24]",31242.07,54873.97899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,E_N000875_N002139,3756,phase2c_still_review_required,3.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_086_E_N000875_N002139_ct_panel.png,"[61, 98, 24]",30901.0,54542.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,E_N001001_N001005,1743,phase2c_still_review_required,3.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_087_E_N001001_N001005_ct_panel.png,"[62, 97, 23]",31463.0,54673.40700000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,E_N001001_N002265,4008,phase2c_still_review_required,3.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_088_E_N001001_N002265_ct_panel.png,"[61, 98, 23]",30944.93,54665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,E_N001127_N001131,1995,phase2c_still_review_required,3.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_089_E_N001127_N001131_ct_panel.png,"[62, 77, 23]",31415.0,52805.56699999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,E_N001883_N003147,5552,phase2c_still_review_required,3.25,outputs/part2/phase2c/20260727_132248/review_packet/panels/rank_090_E_N001883_N003147_ct_panel.png,"[62, 98, 24]",30573.0,54130.53099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
